CODIGO,DESCRIPCION,STOCK,PRECIO $,MARCA,MINI CODIGO,DETALLES,PRECIO EN SOLES
ME8GTG1600C1101, MEM RAM 8G T-ELITE 1.60GHZ DR3,20,12.2,TEAMGROUP,475956,"Memoria TeamGroup Elite 8GB (1x8GB) DDR3-1600MHz PC3-12800, CL11, 1.35V[@@@]",80.1708
ME32GKTH-PL426E, MEM RAM 32G KTH-PL426E DDR4,20,111.2,KINGSTON,481081,,576.5568000000001
ME8GCOVEX4M1A26, MEM COR 8G VENG LPX 2666 DDR4,20,14.8,CORSAIR,240075,"Memoria Corsair Vengeance LPX, 8GB, DDR4, 2666 MHz, PC4-21300, CL-16, 1.2V[@@@]Soport",93.2072
ME8GKTHPL426S8, MEM RAM 8G KTH 2.66GHZ DDR4, 1,36.59,KINGSTON,459527,"Memoria DIMM Kingston, 8GB DDR4-2666MHz PC4-21300, 1Rx8, CL19, 1.2V, 288-Pin, ECC REG",202.46226000000001
ME8GKTL-TS426E, MEM RAM 8GKTL-TS426E 2.66 DDR4, 2,33.42,KINGSTON,440168,"Memoria DIMM Kingston 8GB DDR4-2666MHz, PC4-21300, CL19, 1Rx8, 1.2V, 288-pin, ECC[@@@",186.56788
ME16GKCP432ND8, MEM RAM 16G KCP 3.20GHZ DDR4, 11,43,KINGSTON,413108,"Memoria DIMM Kingston, 16GB DDR4-3200MHz PC4-25600, CL22, 1.2V, 288-Pin, Non-ECC[@@@]",234.602
ME16GKCP432NS8, MEM RAM 16G KCP 3.20GHZ DDR4,20,38.5,KINGSTON,413109,"Memoria DIMM Kingston, 16GB DDR4-3200MHz PC4-25600, CL22, 1.2V, 288-Pin, Non-ECC[@@@]",212.03900000000002
ME16GKF432C16BF, MEM RAM 16G FURY BEAST 3.2G D4,20,32.65,KINGSTON,376510,"Memoria Kingston Fury Beast, 16GB, DDR4, 3200 MHz, PC4-25600, CL16, 1.35V.[@@@]",182.7071
ME16KF432C16BB2, MEM RAM 16G BEAST RGB 3.20G D4,20,38.9,KINGSTON,424610,"Memoria Kingston Fury Beast RGB BLACK, 16GB DDR4 3200 MHz, PC4-25600, CL16, 1.35V.[@@",214.0446
ME16KVR32N22S8, MEM RAM 16G KVR 3.20GHZ DDR4,20,32.2,KINGSTON,413554,"Memoria DIMM Kingston, 16GB DDR4-3200MHz PC4-25600, CL22, 1.2V, 288-Pin, Non-ECC[@@@]",180.45080000000002
ME16TF3200HC16F, MEM RAM 16G TF TUF 3.20GHZ DR4, 0,25.55,TEAMGROUP,425024,"Memoria TEAMGROUP T-FORCE VULCAN TUF Gaming Alliance DDR4, 16GB DDR4-3200MHz, CL16, 1",147.10770000000002
ME32KF432C16BB2, MEM RAM 32G BEAST RGB 3.20G D4, 4,85.6,KINGSTON,426495,"Memoria Kingston Fury Beast 32GB DDR4-3200MHz PC4-25600, CL16, 1.35V, 288-Pin, RGB, D",448.1984
ME32TGCCD432G32, MEM RAM 32G(16X2) T-CREATE 3.2,20,55,TEAMGROUP,380915,"Memoria TEAMGROUP T-CREATE Classic DDR4, 32GB (2x16GB), DDR4-3200MHz, CL-22, 1.2V[@@@",294.77000000000004
ME8GCOVX4M1Z320, MEM RAM 8G COR VENG 3200MHZ,20,17.8,CORSAIR,352122,"Memoria Corsair Vengeance LPX, 8GB, DDR4 3200 MHz, PC4-25600, CL-16, 1.35V[@@@]",108.2492
ME8GKCP432NS6, MEM 8G KING KCP432NS6/8 3.20, 8,18.95,KINGSTON,370407,"Memoria Kingston KCP432NS6/8, DIMM 8GB DDR4-3200 MHz, CL22, 1.2V, Non-ECC.[@@@]",114.0153
ME8GKCP432NS8, MEM RAM 8G KCP DIMM 3.20G DDR4, 10,19.85,KINGSTON,463000,"Memoria DIMM Kingston, 8GB DDR4-3200MHz PC4-25600, 1Rx8, CL22, 1.2V, 288-Pin, Non-ECC",118.52790000000002
ME8GKF432C16BB2, MEM RAM 8G BEAST RGB 3.20G DR4, 15,28.4,KINGSTON,424613,"Memoria Kingston Fury Beast RGB BLACK 8GB DDR4-3200 MHz, PC4-25600, CL16, 1.35V, Non-",161.3976
ME8GKF432C16BB8, MEM RAM 8G FURY BEAST 3.20G D4,20,18.3,KINGSTON,373165,"Memoria Kingston Fury Beast, 8GB, DDR4-3200MHz, PC4-25600, CL16, 1.35V, 288-Pines, XM",110.7562
ME8GPV320C6, MEM RAM 8G PA VIPER 3.20G DDR4,20,14.5,PATRIOT,466390,Memoria UDIMM Patriot Viper Steel 8GB DDR4-3200MHz PC4-25600 CL16 1.35V 288-pin[@@@],91.703
ME8GTF3D48G320D, MEM RAM 8G TF DELTA RGB 3.20GZ,20,18.35,TEAMGROUP,372775,"Memoria TEAMGROUP DELTA RGB DDR4, 8GB DDR4-3200MHz PC4-25600, CL16, 1.35V (1x8GB)[@@@",111.00690000000002
ME8GTFGD48G3200, MEM RAM 8G T-FORCE 3.20GHZ DR4,20,16.1,TEAMGROUP,372777,"Memoria TG T-Force VULCAN Z 8GB DDR4-3200 MHz, CL16, 1.35V[@@@]",99.72540000000001
ME16GTF3600HCD2, MEM RAM 16G(2X8)TF DEL RGB 3.6,20,36.9,TEAMGROUP,387133,"Memoria TEAMGROUP T-FORCE DELTA RGB 16GB (2 x 8GB) DDR4-3600MHz, CL18, 1.35V, RGB, Ne",204.0166
ME16GTF3600HCDW, MEM RAM 16G(2X8)TF DEL RGB 3.6,20,36.9,TEAMGROUP,387134,"Memoria TEAMGROUP T-FORCE DELTA RGB 16GB (2 x 8GB) DDR4-3600MHz, CL18, 1.35V, RGB, Bl",204.0166
ME16KF436C18BB2, MEM RAM 16G BEAST RGB 3.60G D4,20,43.85,KINGSTON,424612,"Memoria Kingston Fury Beast RGB BLACK, 16GB, DDR4-3600MHz, PC4-28800, CL18, 1.35V, No",238.86390000000003
ME16KF436C18RB2, MEM RAM 32G FURY REN RGB 3.60G, 15,75.45,KINGSTON,430015,"Memoria DIMM Kingston Fury Renegade 32GB DDR4-3600MHz PC4-28800, CL18, 1.35V, 288-pin",397.3063
ME32CMX4M2D36RW, MEM RAM 32G(2X16)CO RGB W 3.6G,20,61.7,CORSAIR,485753,,328.3638
ME32CMX4M2Z36RN, MEM RAM 32G(2X16)COR RGB 3.60G,20,58.7,CORSAIR,485752,,313.32180000000005
ME8GKF436C17BB8, MEM RAM 8G FURY BEAST 3.60G D4, 17,23.2,KINGSTON,373167,"Memoria Kingston Fury Beast, 8GB, DDR4 3600 MHz, PC4-28800, CL17, 1.35V.[@@@]",135.32479999999998
ME16TEP4800HC40, MEM RAM 16G TEAM ELITE+ 4.80GZ,20,43.65,TEAMGROUP,401847,"Memoria TEAMGROUP ELITE PLUS DDR5 16GB DDR5-4800MHz, PC5-38400, CL40, 1.1V[@@@]",237.8611
ME32GHP6G0Q6AA, MEM RAM 32G HP X2 4.80GHZ DDR5, 3,75.8,HP MEMORIAS RAM,426541,"Memoria HP X2 UDIMM DDR5-4800MHz, PC5-38400, 32GB, CL40, 1.1V, 288-Pin, On-die ECC.[@",399.0612
ME16CMX5M1B5200, MEM RAM 16G CO VENG 5.20G DDR5,20,35.4,CORSAIR,433052,,196.4956
ME16CMX5M1B52RG, MEM RAM 16G COR VENG RGB 5.20,20,43.5,CORSAIR,453726,"Memoria CORSAIR VENGEANCE RGB DDR5, 16GB DDR5-5200MHz, PC5-41600, CL40, 1.25V[@@@]",237.109
ME16GKF552C4ARG, MEM RAM 16G KF BEAST RGB 5.2GZ, 5,47.1,KINGSTON,397188,"Memoria Kingston Fury Beast 16GB DDR5-5200MHz PC5-41600 CL40, 1.25V, 288-Pin, XMP 3.0",255.1594
ME16KF552BWRGB, MEM RAM 16G KF 5.2G RGB WHI D5, 6,47.5,KINGSTON,415120,"Memoria Kingston FURY Beast White RGB, 16GB DDR5-5200 MHz, CL-40, 1.25V, White[@@@]",257.165
ME16KF552C40BB1, MEM RAM 16G KF BEAST 5.20G DR5,20,42.7,KINGSTON,381054,"Memoria Kingston Fury Beast 16GB, DDR5-5200MHz, PC5-41600, CL40, 1.25V, 288-Pines, XM",233.09780000000003
ME16KF552C40BW, MEM RAM 16G KF 5.20G WHITE DR5, 8,40.7,KINGSTON,415118,"Memoria DIMM Kingston FURY Beast White, 16GB DDR5-5200MHz PC5-41600, CL40, 1.25V, Non",223.06980000000001
ME16KF552C40BWE, MEM RAM 16G KF 5.2G EXP WHI D5, 19,44.5,KINGSTON,415119,"Memoria DIMM Kingston FURY Beast White EXPO, 16GBDDR5-5200MHz PC5-41600, CL36, 1.25V[",242.12300000000002
ME16TFD5200HC4W, MEM RAM 16G TF DELTA RGB 5.20G, 15,42.5,TEAMGROUP,401842,"Memoria TEAMGROUP T-FORCE DELTA RGB DDR5, 16GB DDR5-5200MHz, PC5-41600, CL40, 1.25V[@",232.095
ME32CMX5M1B5200, MEM RAM 32G CO VENG 5.20G DDR5,20,59.7,CORSAIR,433053,,318.3358
ME32CMX5M2B5200, MEM RAM 32G(2X16) CO RGB 5.20G,20,87,CORSAIR,433048,,455.218
ME32CMX5M2B520W, MEM RAM 32G(2X16) CO RGB 5.20G,20,88.5,CORSAIR,433049,,462.73900000000003
ME32CMX5M2B52RN, MEM RAM 32G (2X16) COR RGB 5.2, 8,87.65,CORSAIR,468485,"Memoria Corsair Vengeance RGB 32GB (2 x 16GB), DDR5-5200MHz, CL40, 1.25V[@@@]Compatib",458.47710000000006
ME32GCO2B5200C4, MEM 32G(2X16) COR VENG 5.20GHZ, 5,78.9,CORSAIR,387413,"Memoria Corsair Vengeance 32GB Kit (2 x 16GB) DDR5-5200 MHz, PC5-41600, CL40, 1.25V,",414.60460000000006
ME32GKF552C40RG, MEM RAM 32G FURY BST RGB 5.20G, 4,82.5,KINGSTON,410132,"Memoria Kingston Fury Beast 32GB DDR5-5200MHz, PC5-41600, CL40, 1.25V, 288-Pin, Non-E",432.65500000000003
ME32KCP552UD8, MEM RAM 32G KCP 5.20G DIM DDR5, 4,80.9,KINGSTON,455423,"Memoria Kingston 32GB, DDR5-5200 MHz, PC5-41600, CL42, 1.1V, 288-pin, Non-ECC[@@@]",424.6326
ME32KF552C40BBF, MEM RAM 32G FURY 5.20G DDR5, 10,81.9,KINGSTON,428650,"Memoria Kingston Fury Beast BLACK, 32GB DDR5-5200MHz, PC5-41600, CL40, 1.25V.[@@@]",429.64660000000003
ME32TFVC5200HC4, MEM RAM 32G T-FORCE VUL 5.20GH, 10,80.8,TEAMGROUP,419087,"Memoria TEAMGROUP T-FORCE VULCAN DDR5 32GB (1 x 32GB) DDR5-5200MHz, CL40, 1.25V[@@@]",424.1312
ME64CMKX5M2B520, MEM RAM 64G(2X32) CO 5.20G DR5, 14,137,CORSAIR,433046,"Memoria CORSAIR VENGEANCE DDR5, 64GB (2x32GB) DDR5-5200MHz, CL40, 1.25V, Gris[@@@]",705.918
ME64CMX5M2B5200, MEM RAM 64G(2X32) CO RGB 5.20G,20,143.6,CORSAIR,433050,,739.0104
ME64CMX5M2B5201, MEM RAM 64G (2X32) COR VNG 5.2, 3,137,CORSAIR,468486,"Memoria Corsair Vengeance 64GB (2 x 32GB), DDR5-5200MHz, CL40, 1.25V[@@@]Compatibilid",705.918
ME64CMX5M2B520W, MEM RAM 64G(2X32) CO RGB 5.20G, 17,146,CORSAIR,433051,,751.044
ME8GKF552C40BB8, MEM RAM 8G KF BEAST 5.20G DDR5,20,25.3,KINGSTON,392285,"Memoria Kingston Fury Beast 8GB, DDR5-5200MHz, PC5-41600, CL40, 1.25V, 288-Pines, XMP",145.8542
ME8GKF552C4ARGB, MEM RAM 8G KF BEAST RGB 5.2GHZ, 10,29.9,KINGSTON,397186,"Memoria Kingston Fury Beast 8GB DDR5-5200MHz PC5-41600, CL40, 1.25V, 288-Pin, XMP 3.0",168.9186
ME8GTFV5200HC40, MEM RAM 8G TF VULCAN 5.20GHZ,20,21.8,TEAMGROUP,401838,"Memoria TEAMGROUP T-Force VULCAN DDR5 8GB DDR5-5200 MHz, CL40, 1.25V[@@@]",128.3052
ME16CMX5M1B5600, MEM RAM 16GB COR VENG 5.60GHZ,20,42.9,CORSAIR,468483,"Memoria Corsair Vengeance 16GB (1 x 16GB), DDR5-5600MHz, CL40, 1.25V[@@@]Compatibilid",234.10060000000001
ME16CMX5M1B56RG, MEM RAM 16G COR VENG RGB 5.60,20,46.7,CORSAIR,453744,"Memoria CORSAIR VENGEANCE RGB DDR5, 16GB DDR5-5600MHz, PC5-44800, CL40, 1.25V[@@@]",253.15380000000002
ME16CVX5M1B560R, MEM RAM 16G COR VEG RGB 5.60G, 16,47.5,CORSAIR,480157,"Memoria Corsair Vengeance RGB DDR5, 16GB DDR5-5600MHz, PC5-44800, CL40, 1.25v[@@@]Pot",257.165
ME16GKF556C40BB, MEM RAM 16G FURY 5.60GHZ DDR5,20,45.5,KINGSTON,423572,"Memoria Kingston Fury Beast 16GB DDR5-5600MHz, PC5-44800, CL40, 1.25V, 288-Pin, DIMM[",247.137
ME16KCP556US8, MEM RAM 16G KCP556US8 5.6G DR5,20,46.15,KINGSTON,462261,"Memoria Kingston 16GB, DDR5-5600 MHz, PC5-44800, CL46, 1.1V, 288-pin, 1Rx8, Non-ECC[@",250.3961
ME16TFD5600HC36, MEM RAM 16G TF DELTA RGB 5.60G,20,44.55,TEAMGROUP,401843,"Memoria TEAMGROUP T-Force DELTA RGB DDR5 16GB DDR5-5600 MHz, CL36, 1.2V[@@@]",242.37369999999999
ME16TFD5600HC3W, MEM RAM 16G TF DELTA RGB 5.60G, 8,43.75,TEAMGROUP,401844,"Memoria TEAMGROUP T-FORCE DELTA RGB DDR5, 16GB DDR5-5600MHz, PC5-44800, CL36, 1.2V[@@",238.3625
ME16TFDT5600HC3, MEM RAM 16G TF TUF DT RGB 5.6G,20,43.75,TEAMGROUP,419449,"Memoria TEAMGROUP T-FORCE DELTA TUF GAMING ALLIANCE RGB DDR5, 16GB DDR5-5600MHz, CL36",238.3625
ME16TFV5600HC36, MEM RAM 16G TF VULCAN 5.60GHZ,20,40.6,TEAMGROUP,401840,"Memoria TEAMGROUP T-Force VULCAN DDR5 16GB DDR5-5600 MHz, CL36, 1.2V[@@@]",222.56840000000003
ME16TFVA5600HCN, MEM RAM 16G TF VULCAN ALP 5.6G,20,41.5,TEAMGROUP,417039,"Memoria TEAMGROUP VULCANα DDR5, 16GB (1x16GB) DDR5-5600MHz PC5-44800, CL40, 1.2V",227.08100000000002
ME32CMX5M2B5600, MEM RAM 32G(2X16) CO RGB 5.60G,20,92.2,CORSAIR,436678,,481.29080000000005
ME32CMX5M2B560V, MEM RAM 32G(2X16) CO VENG 5.6G, 12,83.4,CORSAIR,436680,,437.16760000000005
ME32KCP556UD8, MEM RAM 32G KCP556UD8 5.6G DR5, 9,87.1,KINGSTON,462262,"Memoria Kingston 32GB, DDR5-5600 MHz, PC5-44800, CL46, 1.1V, 288-pin, 2Rx8, Non-ECC[@",455.7194
ME32KF556C40BB, MEM RAM 32G FURY BEAST 5.6G D5,20,84,KINGSTON,430017,"Memoria DIMM Kingston Fury Beast 32GB DDR5-5600MHz PC5-44800, CL40, 1.25V, 288-pin No",440.17600000000004
ME32TF5600HC40N, MEM RAM 32G TF VU 5.60GHZ DDR5,20,81.9,TEAMGROUP,480027,"Memoria TEAMGROUP VULCAN DDR5, 32GB (1x32GB) DDR5-5600MHz PC5-44800, CL40, 1.3V[@@@]",429.64660000000003
ME32TFDT5600HC3, MEM RAM 32G TF TUF DT RGB 5.6G,20,88.5,TEAMGROUP,419450,"Memoria TEAMGROUP DELTA TUF Gaming Alliance RGB, 32GB (1x32GB) DDR5-5600MHz, CL36, 1.",462.73900000000003
ME64CVX5M2B56RK, MEM RAM 64G(2X32) CO RGB 5.60G,20,157.5,CORSAIR,480160,"Memoria Corsair Vengeance RGB DDR5, 64GB DDR5-5600MHz, PC5-44800, CL40, 1.25V[@@@]Est",808.705
ME8GKCP556US6, MEM RAM 8G KCP556US6 5.6G DDR5,20,25.6,KINGSTON,461657,"Memoria Kingston 8GB, DDR5-5600 MHz, PC5-44800, CL46, 1.1V, 288-pin, 1Rx16, Non-ECC[@",147.35840000000002
ME8GKF556C40BF, MEM RAM 8G KF BEAST 5.60GHZ D5,20,24.9,KINGSTON,401438,"Memoria Kingston Fury Beast 8GB DDR5-5600MHz, PC5-44800, CL40, 1.25V, 288-Pin, Non-EC",143.8486
ME16GTFV6000HC3, MEM RAM 16G TF VULCAN 6.0GZ D5, 18,41.6,TEAMGROUP,424246,"Memoria TEAMGROUP T-FORCE VULCAN DDR5 16GB (1 x 16GB) DDR5-6000MHz, CL38, 1.25V[@@@]",227.5824
ME16KF560C36BBE, MEM RAM 16G KF 6.00GHZ DDR5,20,51,KINGSTON,454577,"Memoria Kingston Fury Beast 16GB DDR5-6000MHz, PC5-48000, CL36, 1.35V, 288-Pin[@@@]",274.714
ME16KF560C36BBR, MEM RAM 16G KF RGB 6.0G DDR5,20,58.6,KINGSTON,454579,"Memoria Kingston Fury Beast 16GB DDR5-6000MHz, PC5-48000, CL36, 1.35V, 288-Pin, RGB[@",312.8204
ME16KF560C36BRG, MEM RAM 16G KF RGB 6.00G N,20,105.2,KINGSTON,483691,,546.4728
ME16KF560C36BWR, MEM RAM 16G KF RGB 6.0G DDR5, 13,59.2,KINGSTON,454580,"Memoria Kingston Fury, 16GB, DDR5-6000 MHz, PC5-48000, CL36, 1.35V, RGB.[@@@]",315.8288
ME16TF6000HC38A, MEM RAM 16G TF DELT RGB 6.00GZ,20,46.5,TEAMGROUP,425836,"Memoria TEAMGROUP T-FORCE DELTA BLACK RGB, 16GB (1x16GB) DDR5-6000MHz, CL38, 1.25V[@@",252.151
ME16TF6000HC38W, MEM RAM 16G TF DELT RGB 6.00GZ,20,46.9,TEAMGROUP,425837,"Memoria TEAMGROUP T-FORCE DELTA RGB DDR5, 16GB (1x16GB) DDR5-6000MHz, CL38, 1.25V, Bl",254.1566
ME32BWDW10060N, MEM RAM 32G(2X16) BW DW100 RGB, 18,115,BIWIN,460787,"Memoria UDIMM Biwin Black Opal DW100 RGB, 32GB (2x16GB) DDR5-6000, PC5-48000, CL30, 1",595.61
ME32BWDW10060W, MEM RAM 32G(2X16) BW DW100 RGB, 19,117.4,BIWIN,460789,"Memoria UDIMM Biwin Black Opal DW100 RGB, 32GB (2x16GB) DDR5-6000, PC5-48000, CL30, 1",607.6436000000001
ME32BWDW100RGBN, MEM RAM 32G(2X16) BW DW100 RGB, 8,141.6,BIWIN,482200,"Memoria RAM Biwin Opal DW100 RGB 32GB (2x16GB) DDR5-6000MHz, CL28, 1.4V, Color Negro[",728.9824
ME32BWDW100RGBW, MEM RAM 32G(2X16) BW DW100 RGB, 11,94.4,BIWIN,482204,"Memoria UDIMM Biwin Black Opal DW100 RGB, 32GB (2x16GB) DDR5-6000, PC5-48000, CL36, 1",492.32160000000005
ME32CMX5M2B600L, MEM RAM 32G(2X16)COR 6.00G DR5,20,85.5,CORSAIR,485748,,447.697
ME32GBWHX100N2, MEM RAM 32G (2X16) HX100 6.00G, 18,86.9,BIWIN,477508,"Memoria Biwin HX100 32GB DDR5-6000MHz (2 x 16GB),CL36, 1.35V, Color Negro[@@@]Compati",454.7166
ME32GBWHX100S, MEM RAM 32G (2X16) HX100 6.00G, 19,80.25,BIWIN,468028,"Memoria Biwin HX100 32GB DDR5-6000MHz (2x16GB), CL34, 1.1V, 1Rx8, Color Plata[@@@]Com",421.37350000000004
ME32GPV60C30, MEM RAM 32G PV VENOM 6.00G DR5,20,83.6,PATRIOT,466392,Memoria UDIMM Patriot Viper Venom 32GB DDR5-6000MHz PC5-48000 CL30 1.35V 288-pin[@@@],438.1704
ME32PR60V2ARGBS, MEM RAM 32G(2X16) PR VII ARGBS,20,97.3,PREDATOR,477495,"Memoria U-DIMM Predator Vesta II RGB, 32GB (2x16GB) DDR5-6000MHz, PC5-48000, CL36, 1.",506.86220000000003
ME32PRBL9BWR378, MEM RAM 32G(2X16) PRE RGB 6.0G, 15,111,PREDATOR,451122,"Memoria U-DIMM Predator Vesta II RGB, 32GB (2x16GB) DDR5-6000MHz, PC5-48000, CL32, 1.",575.554
ME32PRBL9BWR379, MEM RAM 32G(2X16) PRE RGB 6.0G, 7,111,PREDATOR,451123,"Memoria U-DIMM Predator Vesta II RGB, 32GB (2x16GB) DDR5-6000MHz, PC5-48000, CL32, 1.",575.554
ME32PRPALLAS2S, MEM RAM 32G(2X16) PRED PALL2 G, 16,88,PREDATOR,482207,"Memoria RAM Predator Pallas II 32GB (2x16GB) DDR5-6000MHz, CL34, 1.3V, Color Silver[@",460.232
